n_qubits,depth,circuit_variant,E_Q,E_B2,M2,ci_low_M2,ci_high_M2,F,ci_low_F,ci_high_F,mean_grad_ratio,ci_low_mgr,ci_high_mgr,param_avg_var_plugin,var_plugin_over_M2,n_params,n_unique_seeds
8,6,hea,0.02799185577650569,1.0584480904228712,0.029675061677795978,0.02764257963364452,0.031895517047606056,1.0015909106595355,0.9738795009167859,1.0312096393763148,0.03223097755160561,0.04384545410202856,0.09341908506164538,0.028718605431016415,0.967769022448394,96,30
10,6,hea,0.011874665027054495,1.0022770443635085,0.011697761886137388,0.010587111526524433,0.012994035458142301,0.9828644472137011,0.9542338838217771,1.0124957328383049,0.03519105232649257,0.048192553393208985,0.09418817385405459,0.011286105335499471,0.9648089476735069,120,30
4,6,hva,4.029067267995885,1.646791074771742,6.73165704437559,5.518097435134782,8.163529537933337,1.0145628578043622,0.9161285183585084,1.1198059445531234,0.035980835814200876,0.0316312695427284,0.12083498911522346,6.489446397504404,0.9640191641857992,18,30
6,6,hva,5.850605322259306,2.330871431673445,14.80080960572118,11.548577209883614,18.495813181694157,1.0853413544588155,0.979315917880684,1.191831662029906,0.03448906738009469,0.029619122322202443,0.12145056323937171,14.290343485949514,0.9655109326199055,18,30
8,6,hva,7.919905599213014,3.468287950541917,31.109969051432408,24.15983771987108,38.799751786817154,1.1325683655009,1.0268169245172587,1.235255099198678,0.03265990022761715,0.03248202804241882,0.11515536689951619,30.093920566128368,0.9673400997723829,18,30
10,6,hva,10.011170968595511,4.852717318651127,55.589173113729515,43.8737495769013,68.59449165919636,1.1442484750188575,1.0435911211451052,1.243623220944418,0.031082793115025455,0.03220125965848668,0.11118919151190806,53.86130634640013,0.9689172068849746,18,30
4,8,hea,0.22157295725029105,1.038033914420831,0.2343396066319729,0.20564231407924827,0.2667621593998947,1.0188667733975578,0.9901442383715378,1.0470281408420994,0.04083370606241525,0.05287270055619404,0.10100391318090687,0.2247706520159809,0.9591662939375848,64,30
6,8,hea,0.08198084360497988,0.9785199544976244,0.07990160469231505,0.07407958789853684,0.08550525692934771,0.9960323224535163,0.9735507902374468,1.0192703765884903,0.029581315761217832,0.044859418648697434,0.08669509838462401,0.07753801009408368,0.9704186842387822,96,30
8,8,hea,0.027276487906647745,0.9782393296606384,0.026840530630417754,0.025274781434707197,0.028460289404613617,1.0059062991191172,0.984992471274334,1.0272075243787306,0.030839790087291184,0.04438082024744624,0.08855611769021139,0.026012774299944152,0.9691602099127085,128,30
10,8,hea,0.008812798130006027,1.0056463397379756,0.00889194520702811,0.00854861793050306,0.009253126441470758,1.0033158625459404,0.9828592009347568,1.0246108973625676,0.032838750118672544,0.048666015557775465,0.08862711300764119,0.00859994484030558,0.9671612498813268,160,30
4,8,hva,3.741253925572503,1.963007945964506,7.087522166929234,5.545595558708179,8.938354789780384,0.9650619373236691,0.8745209350091009,1.0550356258027462,0.04849358218811177,0.04247148361615221,0.12872854785136306,6.743822828217187,0.9515064178118883,24,30
6,8,hva,5.208577603140012,2.6062063098240587,14.881297643667116,11.50794906373573,18.545827831079528,1.096258243467896,1.0268149952461603,1.1714732006993038,0.042062543103954124,0.03741381505755866,0.12277121608116469,14.255352420087597,0.9579374568960459,24,30
8,8,hva,6.909548680752278,3.631692958837725,28.6842344921085,21.883601988615744,35.721296495744255,1.1431006170834992,1.0810428927135407,1.2041547025427426,0.039070304362887845,0.034175201987285374,0.11883413016914757,27.56353272008538,0.9609296956371123,24,30
10,8,hva,8.711044084105033,4.900759876552089,49.863727399354524,37.96719890502363,62.50381399943837,1.1680222187227602,1.099723743476567,1.2350408606934038,0.03811807014259294,0.03532364626478473,0.11852116292822928,47.963018340774795,0.9618819298574071,24,30
