zero_tol,n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,zero_fraction_Z_terms,mean_abs_offdiag_obs,block_zz_obs,block_x_obs,block_z_obs,block_zz_x_obs,block_zz_z_obs,block_x_z_obs,block_zz_abs_obs,block_x_abs_obs,block_z_abs_obs,block_zz_x_abs_obs,block_zz_z_abs_obs,block_x_z_abs_obs,lam_max_ratio
1e-10,10,4,hva,0.1666666666666667,0.1666666666666667,0.444280240831965,0.5404320987654322,0.48246913580246914,0.47777777777777775,-0.03580246913580247,0.0054320987654320994,0.014222222222222218,0.6089506172839506,0.6760493827160494,0.5962962962962963,0.3120987654320988,0.4464197530864198,0.32933333333333337,2.7666449095498176
1e-12,10,4,hva,0.021913580246913582,0.028888888888888888,0.47788724685276407,0.608641975308642,0.48246913580246914,0.5529012345679013,-0.04623456790123457,0.01268518518518517,-0.011222222222222217,0.6871913580246913,0.6760493827160494,0.6636419753086419,0.32339506172839505,0.5066975308641976,0.34288888888888897,2.8381029559113595
1e-08,4,6,hva,0.11111111111111112,0.11111111111111112,0.32727272727272727,0.31111111111111106,0.29382716049382723,0.2691358024691358,-0.02777777777777778,-0.048765432098765424,-0.04074074074074074,0.4493827160493827,0.5012345679012348,0.43209876543209874,0.2413580246913581,0.32160493827160497,0.2685185185185185,1.7867175617114397
1e-09,4,6,hva,0.11111111111111112,0.11111111111111112,0.32727272727272727,0.31111111111111106,0.29382716049382723,0.2691358024691358,-0.02777777777777778,-0.048765432098765424,-0.04074074074074074,0.4493827160493827,0.5012345679012348,0.43209876543209874,0.2413580246913581,0.32160493827160497,0.2685185185185185,1.7856795495539097
1e-10,4,6,hva,0.11111111111111112,0.11111111111111112,0.32727272727272727,0.31111111111111106,0.29382716049382723,0.2691358024691358,-0.02777777777777778,-0.048765432098765424,-0.04074074074074074,0.4493827160493827,0.5012345679012348,0.43209876543209874,0.2413580246913581,0.32160493827160497,0.2685185185185185,1.7829586955207117
1e-12,4,6,hva,0.009876543209876543,0.019907407407407398,0.34390572390572394,0.31851851851851853,0.29382716049382723,0.28858024691358025,-0.023456790123456788,-0.044598765432098765,-0.037962962962962955,0.49506172839506174,0.5012345679012348,0.46388888888888885,0.24074074074074076,0.35632716049382723,0.2796296296296296,1.771235051527548
1e-08,6,6,hva,0.11111111111111112,0.11111111111111112,0.3458061002178649,0.31851851851851853,0.23358024691358026,0.2725925925925925,-0.009135802469135805,-0.024938271604938268,-0.013168724279835392,0.48444444444444446,0.48246913580246903,0.4404938271604939,0.2530864197530864,0.3567901234567901,0.2790123456790123,2.1515859163046502
1e-09,6,6,hva,0.11111111111111112,0.11111111111111112,0.3458061002178649,0.31851851851851853,0.23358024691358026,0.2725925925925925,-0.009135802469135805,-0.024938271604938268,-0.013168724279835392,0.48444444444444446,0.48246913580246903,0.4404938271604939,0.2530864197530864,0.3567901234567901,0.2790123456790123,2.1510583196437763
1e-10,6,6,hva,0.11111111111111112,0.11111111111111112,0.3458061002178649,0.31851851851851853,0.23358024691358026,0.2725925925925925,-0.009135802469135805,-0.024938271604938268,-0.013168724279835392,0.48444444444444446,0.48246913580246903,0.4404938271604939,0.2530864197530864,0.3567901234567901,0.2790123456790123,2.1522192496846912
1e-12,6,6,hva,0.013703703703703702,0.02037037037037037,0.36122004357298476,0.3383333333333333,0.23358024691358026,0.29617283950617274,-0.000617283950617283,-0.024444444444444442,-0.015637860082304528,0.5231481481481481,0.48246913580246903,0.47074074074074074,0.2593827160493827,0.3891358024691358,0.2816872427983539,2.15716807540318
1e-08,8,6,hva,0.11111111111111112,0.11111111111111112,0.36410481627872926,0.4088183421516755,0.30317460317460315,0.3513227513227513,-0.005423280423280423,-0.018783068783068783,-0.007870370370370368,0.5195767195767195,0.5074074074074074,0.492063492063492,0.25753968253968257,0.37962962962962965,0.2740740740740741,2.536681522271894
1e-09,8,6,hva,0.11111111111111112,0.11111111111111112,0.36410481627872926,0.4088183421516755,0.30317460317460315,0.3513227513227513,-0.005423280423280423,-0.018783068783068783,-0.007870370370370368,0.5195767195767195,0.5074074074074074,0.492063492063492,0.25753968253968257,0.37962962962962965,0.2740740740740741,2.534702342687876
1e-10,8,6,hva,0.11111111111111112,0.11111111111111112,0.36410481627872926,0.4088183421516755,0.30317460317460315,0.3513227513227513,-0.005423280423280423,-0.018783068783068783,-0.007870370370370368,0.5195767195767195,0.5074074074074074,0.492063492063492,0.25753968253968257,0.37962962962962965,0.2740740740740741,2.5348218882303564
1e-12,8,6,hva,0.014021164021164021,0.02199074074074074,0.3795783926218708,0.441005291005291,0.30317460317460315,0.37916666666666665,-0.0007936507936508019,-0.01646825396825398,-0.007870370370370366,0.5598765432098766,0.5074074074074074,0.5251984126984127,0.2623015873015873,0.4116402116402116,0.2753472222222222,2.555656587158479
1e-08,10,6,hva,0.11111111111111112,0.11111111111111112,0.3876847290640394,0.479835390946502,0.3863374485596708,0.42469135802469143,-0.0031275720164609094,-0.012674897119341564,-0.004444444444444436,0.5699588477366254,0.5608230452674897,0.5425514403292181,0.2653497942386831,0.39703703703703713,0.27614814814814814,2.9333727796749507
1e-09,10,6,hva,0.11111111111111112,0.11111111111111112,0.3876847290640394,0.479835390946502,0.3863374485596708,0.42469135802469143,-0.0031275720164609094,-0.012674897119341564,-0.004444444444444436,0.5699588477366254,0.5608230452674897,0.5425514403292181,0.2653497942386831,0.39703703703703713,0.27614814814814814,2.9357355922875286
