zero_tol,n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,mean_abs_offdiag_obs,block_zz_obs,block_x_obs,block_cross_obs,block_cross_abs_obs,lam_max_ratio
1e-10,8,4,hva,0.125,0.47087301587301583,0.4694444444444445,0.4071428571428572,-0.03511904761904761,0.34494047619047624,1.9315033786083151
1e-12,8,4,hva,0.012499999999999999,0.4882936507936508,0.514484126984127,0.4071428571428572,-0.035416666666666666,0.3511904761904762,1.9389785097589105
1e-08,10,4,hva,0.125,0.495906432748538,0.5319444444444444,0.4844444444444445,-0.030370370370370364,0.35018518518518515,2.158337817119153
1e-09,10,4,hva,0.125,0.495906432748538,0.5319444444444444,0.4844444444444445,-0.030370370370370364,0.35018518518518515,2.158687095801213
1e-10,10,4,hva,0.125,0.495906432748538,0.5319444444444444,0.4844444444444445,-0.030370370370370364,0.35018518518518515,2.158696541386472
1e-12,10,4,hva,0.017129629629629627,0.5136695906432749,0.5760416666666669,0.4844444444444445,-0.026203703703703708,0.3576851851851852,2.1738676956730987
1e-08,4,6,hva,0.08333333333333336,0.3854497354497354,0.29444444444444445,0.25555555555555554,0.02222222222222222,0.29444444444444445,1.5599132894237178
1e-09,4,6,hva,0.08333333333333336,0.3854497354497354,0.29444444444444445,0.25555555555555554,0.02222222222222222,0.29444444444444445,1.561202194651122
1e-10,4,6,hva,0.08333333333333336,0.3854497354497354,0.29444444444444445,0.25555555555555554,0.02222222222222222,0.29444444444444445,1.5597362024860504
1e-12,4,6,hva,0.022222222222222223,0.38571428571428584,0.30370370370370375,0.25555555555555554,0.029629629629629624,0.29259259259259257,1.5421470229096932
1e-08,6,6,hva,0.08333333333333336,0.38848484848484854,0.2766666666666666,0.21481481481481476,0.002222222222222225,0.305925925925926,1.7379483068938328
1e-09,6,6,hva,0.08333333333333336,0.38848484848484854,0.2766666666666666,0.21481481481481476,0.002222222222222225,0.305925925925926,1.737580465778145
1e-10,6,6,hva,0.08333333333333336,0.38848484848484854,0.2766666666666666,0.21481481481481476,0.002222222222222225,0.305925925925926,1.7357333790325733
1e-12,6,6,hva,0.011111111111111112,0.3927777777777777,0.28861111111111104,0.21481481481481476,0.004444444444444442,0.3074074074074073,1.7219776238513325
1e-08,8,6,hva,0.08333333333333336,0.4117989417989417,0.34735449735449736,0.2936507936507936,-0.009523809523809514,0.31190476190476185,1.9865767726700438
1e-09,8,6,hva,0.08333333333333336,0.4117989417989417,0.34735449735449736,0.2936507936507936,-0.009523809523809514,0.31190476190476185,1.9922262679029055
1e-10,8,6,hva,0.08333333333333336,0.4117989417989417,0.34735449735449736,0.2936507936507936,-0.009523809523809514,0.31190476190476185,1.986479043854432
1e-12,8,6,hva,0.013888888888888888,0.41738095238095246,0.3662698412698413,0.2936507936507936,0.0011904761904761912,0.31448412698412687,1.9786588303536505
1e-08,10,6,hva,0.08333333333333336,0.4395061728395062,0.43179012345679,0.3748148148148148,-0.01135802469135802,0.31407407407407406,2.2876066156820194
1e-09,10,6,hva,0.08333333333333336,0.4395061728395062,0.43179012345679,0.3748148148148148,-0.01135802469135802,0.31407407407407406,2.289474243123963
1e-10,10,6,hva,0.08333333333333336,0.4395061728395062,0.43179012345679,0.3748148148148148,-0.01135802469135802,0.31407407407407406,2.2853239866150425
1e-12,10,6,hva,0.010493827160493826,0.4467836257309941,0.452932098765432,0.3748148148148148,-0.005802469135802469,0.3167901234567901,2.276289506262286
1e-08,4,8,hva,0.0625,0.3636904761904762,0.27361111111111114,0.38333333333333336,0.02847222222222222,0.25416666666666665,1.5995776498934413
1e-09,4,8,hva,0.0625,0.3636904761904762,0.27361111111111114,0.38333333333333336,0.02847222222222222,0.25416666666666665,1.5990393590337701
1e-10,4,8,hva,0.0625,0.3636904761904762,0.27361111111111114,0.38333333333333336,0.02847222222222222,0.25416666666666665,1.6004271164538135
1e-12,4,8,hva,0.008333333333333333,0.3609126984126984,0.2736111111111111,0.38333333333333336,0.02430555555555555,0.24930555555555556,1.5690498004230666
1e-08,6,8,hva,0.0625,0.3524242424242425,0.22750000000000004,0.2911111111111111,0.0044444444444444444,0.25611111111111107,1.738037201220712
1e-09,6,8,hva,0.0625,0.3524242424242425,0.22750000000000004,0.2911111111111111,0.0044444444444444444,0.25611111111111107,1.7376989872450936
1e-10,6,8,hva,0.0625,0.3524242424242425,0.22750000000000004,0.2911111111111111,0.0044444444444444444,0.25611111111111107,1.7429268016670152
1e-12,6,8,hva,0.007083333333333334,0.35719696969696973,0.23541666666666664,0.2911111111111111,0.003194444444444446,0.26041666666666663,1.7296356852352754
1e-08,8,8,hva,0.0625,0.3678174603174602,0.2942460317460317,0.31607142857142867,-0.008035714285714288,0.2677083333333333,2.0107145560930872
1e-09,8,8,hva,0.0625,0.3678174603174602,0.2942460317460317,0.31607142857142867,-0.008035714285714288,0.2677083333333333,2.0177575920794886
1e-10,8,8,hva,0.0625,0.3678174603174602,0.2942460317460317,0.31607142857142867,-0.008035714285714288,0.2677083333333333,2.0154097976932617
1e-12,8,8,hva,0.007738095238095237,0.37180555555555556,0.3052579365079366,0.31607142857142867,-0.005803571428571425,0.26755952380952386,2.00201952898055
1e-08,10,8,hva,0.0625,0.39205653021442494,0.3701388888888889,0.37851851851851853,-0.014166666666666668,0.2715740740740741,2.3452398161202903
1e-09,10,8,hva,0.0625,0.39205653021442494,0.3701388888888889,0.37851851851851853,-0.014166666666666668,0.2715740740740741,2.344195601509716
1e-10,10,8,hva,0.0625,0.39205653021442494,0.3701388888888889,0.37851851851851853,-0.014166666666666668,0.2715740740740741,2.343602526999228
1e-12,10,8,hva,0.007175925925925927,0.3977948343079922,0.3870949074074074,0.37851851851851853,-0.01902777777777778,0.2731944444444444,2.3487976001758697
